,index,SN,isDyn,isHqe,gain,resolution,dcr,pde,tts,amplitude,HV,PvsV,SvsN,risetime,falltime,fwhm,tts_ss
6788,6788,PA1805-1150,0,1,11032400.0,0.29,35.2,32.0,8.99,8.56,1781.0,4.81,0.07,3.96,17.51,7.55,4.813185178615661
6789,6789,EA3737,1,0,9956890.0,0.28,13.0,27.12,6.01,9876540000.0,1768.0,3.67,0.088,7.45,9.66,11.21,1.0919976968272682
6790,6790,PA1805-1165,0,1,10478300.0,0.34,18.0,28.63,10.95,7.72,1790.0,4.17,0.072,4.54,17.33,7.74,5.014991639156163
6791,6791,PA1712-1025,0,0,10653000.0,0.32,33.8,27.15,10.67,8.46,1679.0,3.05,0.082,4.84,17.37,7.81,5.877990380226027
6792,6792,EA3730,1,0,9929320.0,0.29,9.7,26.38,6.69,6.67,1873.0,3.36,0.091,6.87,9.79,11.36,0.7902867877625285
6793,6793,PA1807-2166,0,1,10853100.0,0.3,50.0,33.22,8.25,8.41,1769.0,3.94,0.066,4.34,11.4,7.4,4.534892378656563
6794,6794,PA1805-1111,0,1,10940500.0,0.33,28.3,33.33,9.05,7.74,1793.0,3.58,0.067,4.69,18.27,7.91,5.307183794324946
6795,6795,PA1805-1128,0,1,10641600.0,0.28,36.0,32.88,9.46,8.84,1742.0,4.42,0.074,4.55,11.31,7.44,5.253720021586409
6796,6796,EA3736,1,0,10082200.0,0.25,11.2,26.77,6.28,6.58,1819.0,3.68,0.079,7.12,9.5,11.5,0.6741570436457793
6797,6797,PA1708-1390,0,0,10627200.0,0.28,52.1,28.66,9.07,8.38,1782.0,5.68,0.076,4.49,17.82,7.35,4.295803791646598
6798,6798,PA1806-2146,0,1,10649200.0,0.32,27.8,29.58,10.14,7.37,1766.0,3.35,0.068,5.37,18.19,7.63,5.500037495706577
6799,6799,EA3738,1,0,9759020.0,0.27,13.9,26.52,6.43,6.73,1852.0,3.76,0.079,7.56,9.72,10.94,0.7061440740880512
6800,6800,PA1807-1164,0,1,10892700.0,0.34,28.9,29.13,8.79,8.12,1787.0,7.38,0.067,4.57,17.52,7.73,4.360211366129734
6801,6801,PA1807-2702,0,1,10848400.0,0.35,32.4,31.0,9.71,9.08,1748.0,3.35,0.068,4.55,11.28,7.01,4.848673232646916
6802,6802,PA1806-2790,0,1,10550300.0,0.3,19.9,32.8,8.84,8.12,1601.0,4.8,0.07,4.63,17.44,7.47,5.07036153731925
6803,6803,EA3884,1,0,9907670.0,0.31,15.7,27.66,6.15,6.04,1844.0,3.37,0.076,7.15,9.5,10.95,0.942211248244889
6804,6804,PA1805-1320,0,1,10461000.0,0.3,17.6,28.86,9.11,7.57,1725.0,3.5,0.074,4.7,17.78,7.82,4.975839441505519
6805,6805,PA1806-2149,0,1,10611500.0,0.34,42.2,31.83,11.37,7.71,1776.0,3.02,0.068,4.65,18.22,7.6,5.189848482751697
6806,6806,EA3549,1,0,10001200.0,0.26,26.5,29.51,6.38,6.36,1810.0,2.91,0.085,7.46,10.06,11.53,1.0124765760777632
6807,6807,PA1805-1270,0,1,10518700.0,0.33,14.6,31.38,10.06,6.82,1741.0,3.19,0.07,4.48,18.69,8.21,5.038206606072806
6808,6808,PA1806-1077,0,1,11332100.0,0.25,47.8,31.05,9.98,7.76,1712.0,5.32,0.068,4.26,18.5,8.19,5.662507044027681
6809,6809,PA1805-1168,0,1,10814800.0,0.32,26.5,29.21,9.29,8.6,1739.0,3.2,0.074,4.3,14.79,7.26,4.76534991602078
6810,6810,EA3671,1,0,9946110.0,0.28,30.7,32.17,5.16,6.48,2071.0,2.76,0.083,7.37,9.18,11.91,1.3088430333274588
6811,6811,PA1806-2722,0,1,10650100.0,0.3,30.7,32.55,11.32,7.73,1806.0,3.43,0.07,4.6,17.84,7.74,5.006518001059708
6812,6812,PA1807-1083,0,1,10722700.0,0.29,48.3,30.87,9.14,7.73,1791.0,4.05,0.073,4.48,17.34,7.85,4.919186425930458
6813,6813,EA3673,1,0,9945050.0,0.28,15.1,25.46,6.66,6.46,1773.0,3.64,0.084,7.4,9.56,11.01,0.9950959260147569
6814,6814,PA1711-1634,0,0,10338400.0,0.37,24.6,28.05,9.06,7.22,1789.0,3.3,0.07,4.36,17.18,8.15,5.878143124103225
6815,6815,PA1807-2740,0,1,10871300.0,0.25,42.4,30.8,10.56,8.75,1744.0,7.17,0.07,4.54,16.46,7.35,5.470342511899357
6816,6816,PA1807-2710,0,1,10616700.0,0.33,50.9,32.63,11.06,7.19,1774.0,3.55,0.071,4.85,18.47,8.66,5.219371318086341
6817,6817,EA3672,1,0,9842920.0,0.28,11.9,28.05,6.91,6.39,1787.0,3.43,0.08,7.42,9.43,11.53,0.7824525294701259
6818,6818,PA1801-1395,0,0,10203100.0,0.3,18.9,27.31,9.29,7.18,1818.0,3.53,0.075,4.57,18.28,8.1,5.764600518151521
6819,6819,PA1705-154,0,0,10337900.0,0.33,21.4,27.47,6.71,5.82,1808.0,4.35,0.075,1.49,27.46,9.82,4.716471691832998
6820,6820,PA1807-2802,0,1,10145700.0,0.32,50.9,28.16,9.51,6.93,1727.0,4.39,0.072,4.56,11.18,7.23,4.893023622172507
6821,6821,EA3674,1,0,9820560.0,0.27,11.9,27.31,6.45,6.51,1896.0,3.47,0.088,7.47,9.58,11.11,1.3715538667907348
6822,6822,PA1806-2864,0,1,11041400.0,0.31,17.0,27.04,8.61,6.64,1745.0,5.36,0.065,6.72,18.45,7.71,4.15266310958052
6823,6823,PA1709-1774,0,0,9752220.0,0.31,29.0,27.14,11.49,7.47,1873.0,5.32,0.075,4.35,17.81,7.69,5.241398877589598
6824,6824,EA3664,1,0,9839820.0,0.29,16.0,33.84,7.21,6.6,1927.0,3.92,0.087,6.98,9.7,11.33,1.0085203543414696
6825,6825,PA1806-1094,0,1,10366900.0,0.32,19.6,29.27,8.87,7.28,1713.0,4.04,0.071,4.47,17.87,8.05,4.3486397075723975
6826,6826,PA1806-2814,0,1,10903900.0,0.34,23.4,29.11,9.55,8.58,1756.0,3.2,0.067,4.58,17.55,7.83,5.420585488925231
6827,6827,PA1807-1069,0,1,10306900.0,0.34,38.3,28.68,9.59,7.14,1718.0,2.86,0.074,4.34,11.36,7.57,5.570261338556019
6828,6828,EA3669,1,0,9879580.0,0.26,24.8,30.56,5.75,6.67,2089.0,3.18,0.082,5.96,9.39,11.38,0.26805976411621824
6829,6829,PA1807-1003,0,1,10695600.0,0.3,42.2,27.93,8.16,7.63,1727.0,4.24,0.068,6.92,17.84,7.8,5.588877168445688
6830,6830,PA1707-1070,0,0,10146500.0,0.32,35.5,27.15,9.92,5.74,1770.0,4.76,0.076,1.47,24.32,10.07,5.236196767803522
6831,6831,EA3543,1,0,9940810.0,0.26,14.3,28.42,6.7,6.6,1715.0,4.05,0.081,7.42,10.34,11.17,1.4512244626189825
6832,6832,PA1712-1277,0,0,10338600.0,0.38,30.9,27.42,9.97,8.23,1733.0,4.18,0.073,4.58,12.11,7.46,4.408934816391457
6833,6833,PA1710-1532,0,0,10214100.0,0.28,38.0,27.94,9.93,7.25,1733.0,4.71,0.073,5.06,18.1,7.86,4.924132895701225
6834,6834,PA1807-2739,0,1,11074200.0,0.31,23.4,26.2,9.49,8.48,1756.0,4.77,0.068,4.61,17.35,7.29,5.267039962071826
6835,6835,EA3550,1,0,9778000.0,0.3,17.7,29.94,6.22,6.88,2048.0,3.32,0.084,7.42,9.84,10.91,1.530434133136576
6836,6836,PA1712-1674,0,0,9999150.0,0.31,45.0,30.43,8.5,6.06,1767.0,3.57,0.079,7.03,19.16,8.42,5.661597089673604
6837,6837,PA1805-1239,0,1,11315900.0,0.29,38.0,30.29,8.71,8.12,1679.0,3.48,0.063,4.5,18.78,7.65,4.838827809068659
6838,6838,EA3553,1,0,9614750.0,0.31,17.6,25.09,6.87,6.54,2043.0,3.38,0.094,7.11,9.69,11.12,1.0880069092535447
6839,6839,PA1805-1142,0,1,10670200.0,0.32,26.9,32.15,8.64,7.88,1713.0,3.62,0.067,4.72,17.24,7.74,5.323022687923184
6840,6840,PA1806-2911,0,1,10661000.0,0.31,26.8,28.36,8.22,7.78,1777.0,4.17,0.068,4.58,18.13,7.83,5.218729506283011
6841,6841,PA1806-2835,0,1,10063900.0,0.33,44.0,30.08,8.46,7.47,1770.0,3.59,0.073,4.65,18.55,8.11,5.385600762580743
6842,6842,EA3667,1,0,9840300.0,0.26,14.8,26.52,6.51,6.53,1915.0,3.5,0.094,6.87,10.15,11.27,1.3099264489215985
6843,6843,PA1705-101,0,0,10102400.0,0.3,18.9,28.44,9.93,6.73,1984.0,5.57,0.071,1.47,23.78,10.05,4.978342264142671
6844,6844,PA1806-2918,0,1,10770700.0,0.32,33.2,29.97,8.28,8.42,1751.0,5.36,0.066,4.59,10.95,7.5,5.053183620628215
6845,6845,EA3670,1,0,9963330.0,0.26,10.3,26.65,5.33,6.39,1834.0,4.21,0.082,7.33,9.52,11.34,1.0483924764948545
6846,6846,PA1805-1309,0,1,10698800.0,0.31,37.4,37.62,8.97,8.09,1793.0,4.46,0.068,4.59,17.71,7.41,4.916942620513021
6847,6847,PA1807-1081,0,1,10531000.0,0.33,30.5,31.47,9.58,8.18,1743.0,2.96,0.068,4.6,17.01,7.6,5.010228609322809
6848,6848,PA1807-1082,0,1,10219500.0,0.35,34.4,25.43,9.41,5.18,1703.0,3.78,0.071,5.09,22.44,12.8,5.160476537552418
6849,6849,EA3545,1,0,9819560.0,0.25,10.2,25.93,6.81,6.42,1851.0,3.64,0.087,6.94,10.13,11.2,1.3577710172653377
6850,6850,PA1708-1570,0,0,10669300.0,0.32,48.8,28.44,9.8,8.06,1681.0,4.01,0.072,4.61,17.46,7.71,5.401931927133697
6851,6851,PA1807-2742,0,1,10815800.0,0.32,29.7,31.09,8.54,7.9,1718.0,6.66,0.067,4.73,17.8,7.66,5.037483132192363
